MaGiaoDan;MaHonPhoi;SoThuTu;UpdateDate;MaGiaoXuRieng
46;1;1;;
45;1;1;;
82;2;1;;
81;2;1;;
755;3;1;;
754;3;1;;
783;4;1;;
782;4;1;;
2;5;1;;
1;5;1;;
339;6;1;;
926;6;1;;
3203;7;1;;
3202;7;1;;
3334;8;1;;
3333;8;1;;
3582;9;1;;
3584;9;1;;
3654;10;1;;
3655;10;1;;
3736;12;1;;
3731;12;1;;
4031;13;1;;
4030;13;1;;
3503;14;1;;
3502;14;1;;
1545;16;1;;
4123;16;1;;
4128;17;1;;
4127;17;1;;
5775;19;1;;
5774;19;1;;
3340;20;1;;
7220;20;1;;
3170;21;1;;
3517;21;1;;
1814;22;1;;
1813;22;1;;
1827;23;1;;
1826;23;1;;
5151;24;1;;
5150;24;1;;
10156;25;1;;
10155;25;1;;
10229;26;1;;
3158;26;1;;
9818;27;1;;
9817;27;1;;
1607;28;1;;
5549;28;1;;
7120;29;1;;
7119;29;1;;
6324;31;1;;
6323;31;1;;
4832;33;1;;
4831;33;1;;
1818;34;1;;
1817;34;1;;
10230;35;1;;
3541;35;1;;
10231;36;1;;
7661;36;1;;
7113;37;1;;
7112;37;1;;
10232;38;1;;
1261;38;1;;
10233;40;1;;
9359;40;1;;
6544;41;1;;
6543;41;1;;
8821;42;1;;
8820;42;1;;
5720;43;1;;
5719;43;1;;
10234;44;1;;
2282;44;1;;
3138;45;1;;
3137;45;1;;
9276;46;1;;
9275;46;1;;
7010;47;1;;
7009;47;1;;
7117;48;1;;
7116;48;1;;
8508;49;1;;
8507;49;1;;
10236;50;1;;
10235;50;1;;
1870;51;1;;
1869;51;1;;
10238;52;1;;
10237;52;1;;
10240;53;1;;
10239;53;1;;
5726;54;1;;
5725;54;1;;
9474;55;1;;
9473;55;1;;
7353;56;1;;
7352;56;1;;
6534;57;1;;
6533;57;1;;
961;60;1;;
960;60;1;;
864;62;1;;
863;62;1;;
987;63;1;;
1107;63;1;;
5826;64;1;;
5825;64;1;;
7176;66;1;;
7175;66;1;;
10252;65;1;;
2882;65;1;;
9859;30;1;;
3164;30;1;;
5713;59;1;;
5712;59;1;;
10754;67;1;;
10753;67;1;;
4415;68;1;;
4414;68;1;;
1835;58;1;;
1834;58;1;;
485;69;1;;
2634;69;1;;
5747;39;1;;
5746;39;1;;
5979;32;1;;
5978;32;1;;
6660;70;1;;
6659;70;1;;
4112;61;1;;
4111;61;1;;
2899;18;1;;
2898;18;1;;
4120;15;1;;
4119;15;1;;
13283;71;1;;
13282;71;1;;
1163;72;1;;
1162;72;1;;
3700;73;1;;
9546;73;1;;
3692;11;1;;
3691;11;1;;
13409;74;1;;
13408;74;1;;
