MaGiaoHo;TenGiaoHo;DaXoa;UpdateDate;MaNhanDang;MaGiaoHoCha;MaGiaoXuRieng
1;Bình Thuận;False;4/16/2018 7:15:42 PM;073AF40039FB447786AGIAOHO1636595029421506032;;
2;Giuse;False;4/14/2018 10:19:38 PM;4AE3AC0FE00F48D3809GIAOHO2636593411609006809;;
3;Kẻ Đọng;False;4/16/2018 7:27:10 PM;04D4EB9F8DBE437F9C8GIAOHO1636595036307885340;;
4;La Vang;False;5/1/2018 8:08:22 PM;A3AE96C57C3E44428C7GIAOHO2636608021019903694;;
5;Mỹ Yên;False;4/14/2018 10:21:33 PM;4AE3AC0FE00F48D3809GIAOHO5636593412936832756;;
6;Thanh Lâm;False;4/14/2018 10:21:52 PM;4AE3AC0FE00F48D3809GIAOHO6636593413123423429;;
7;Thanh Sơn;False;4/14/2018 10:22:02 PM;4AE3AC0FE00F48D3809GIAOHO7636593413221079014;;
8;Vinh Đức;False;4/14/2018 10:22:13 PM;4AE3AC0FE00F48D3809GIAOHO8636593413335835578;;
9;Xuân Sơn;False;4/16/2018 8:17:31 PM;073AF40039FB447786AGIAOHO3636595066510985663;;
10;Xuân Thành;False;4/14/2018 10:22:42 PM;4AE3AC0FE00F48D3809GIAOHO10636593413625382139;;
11;Xuân Trang;False;4/14/2018 10:22:53 PM;4AE3AC0FE00F48D3809GIAOHO11636593413738048583;;
12;Tổ 1;False;5/6/2018 4:46:40 AM;D9C3E86FBEBC4CA896CGIAOHO12636611788006021088;8;
13;Tổ 2;False;5/6/2018 4:46:44 AM;D9C3E86FBEBC4CA896CGIAOHO13636611788043773155;8;
14;Tổ 3;False;5/6/2018 4:46:49 AM;D9C3E86FBEBC4CA896CGIAOHO14636611788096969248;8;
15;Tổ 4;False;5/6/2018 4:46:54 AM;D9C3E86FBEBC4CA896CGIAOHO15636611788143145329;8;
16;Tổ 5;False;5/6/2018 4:46:59 AM;D9C3E86FBEBC4CA896CGIAOHO16636611788199305428;8;
