MaDotBiTich;NgayBiTich;MoTa;LinhMuc;LoaiBiTich;NoiBiTich;UpdateDate;MaGiaoXuRieng
1;10/06/2012;Đợt bí tích ngày 10 tháng 06 năm 2012;Lm Đaminh Vũ Hùng Cường;1;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
2;1919;Đợt bí tích năm 1919;;0;;2018/10/05 01:43:01;1234
3;25/07/1923;Đợt bí tích ngày 25 tháng 07 năm 1923;Nghiễm;0;An Lập;2018/10/05 01:43:01;1234
4;20/06/1924;Đợt bí tích ngày 20 tháng 06 năm 1924;;0;Thân Thượng;2018/10/05 01:43:01;1234
5;1928;Đợt bí tích năm 1928;;0;;2018/10/05 01:43:01;1234
6;1930;Đợt bí tích năm 1930;;0;Quỳnh Lang;2018/10/05 01:43:01;1234
7;1932;Đợt bí tích năm 1932;;0;Quỳnh Lang;2018/10/05 01:43:01;1234
8;03/05/1933;Đợt bí tích ngày 03 tháng 05 năm 1933;;0;Thùy Nhai;2018/10/05 01:43:01;1234
9;1936;Đợt bí tích năm 1936;;0;Đồng Quan;2018/10/05 01:43:01;1234
10;1937;Đợt bí tích năm 1937;;0;Đồng Quan;2018/10/05 01:43:01;1234
11;10/08/1937;Đợt bí tích ngày 10 tháng 08 năm 1937;;0;Đồng Quan;2018/10/05 01:43:01;1234
12;1938;Đợt bí tích năm 1938;;0;Hai Giáp;2018/10/05 01:43:01;1234
13;11/12/1938;Đợt bí tích ngày 11 tháng 12 năm 1938;;0;Duyên Lãng;2018/10/05 01:43:01;1234
14;18/06/1939;Đợt bí tích ngày 18 tháng 06 năm 1939;;0;Thân Thượng;2018/10/05 01:43:01;1234
15;1939;Đợt bí tích năm 1939;;0;;2018/10/05 01:43:01;1234
16;1940;Đợt bí tích năm 1940;;0;;2018/10/05 01:43:01;1234
17;15/04/1940;Đợt bí tích ngày 15 tháng 04 năm 1940;;0;Thân Thượng;2018/10/05 01:43:01;1234
18;1941;Đợt bí tích năm 1941;;0;Thân Thượng;2018/10/05 01:43:01;1234
19;07/10/1941;Đợt bí tích ngày 07 tháng 10 năm 1941;;0;Quỳnh Lang;2018/10/05 01:43:01;1234
20;03/12/1942;Đợt bí tích ngày 03 tháng 12 năm 1942;;0;Thân Thượng;2018/10/05 01:43:01;1234
21;1942;Đợt bí tích năm 1942;;0;;2018/10/05 01:43:01;1234
22;1943;Đợt bí tích năm 1943;Nguyễn Văn Hoạt;0;Lạc Thành;2018/10/05 01:43:01;1234
23;29/09/1944;Đợt bí tích ngày 29 tháng 09 năm 1944;;0;Lương Hội;2018/10/05 01:43:01;1234
24;10/04/1944;Đợt bí tích ngày 10 tháng 04 năm 1944;;0;Quỳnh Lang;2018/10/05 01:43:01;1234
25;27/11/1945;Đợt bí tích ngày 27 tháng 11 năm 1945;;0;Phú Mỹ;2018/10/05 01:43:01;1234
26;1946;Đợt bí tích năm 1946;;0;Thượng Cầm;2018/10/05 01:43:01;1234
27;1947;Đợt bí tích năm 1947;;0;Nội Bài;2018/10/05 01:43:01;1234
28;24/07/1947;Đợt bí tích ngày 24 tháng 07 năm 1947;Lm. Hậu;0;Ngũ Phúc;2018/10/05 01:43:01;1234
29;1948;Đợt bí tích năm 1948;;0;;2018/10/05 01:43:01;1234
30;05/05/1948;Đợt bí tích ngày 05 tháng 05 năm 1948;Toma Sùng;0;Thái Bình;2018/10/05 01:43:01;1234
31;19/09/1948;Đợt bí tích ngày 19 tháng 09 năm 1948;;0;Krek, Campuchia;2018/10/05 01:43:01;1234
32;1948;Đợt bí tích năm 1948;Phero Trần Gia Vĩnh;0;Cao Mộc;2018/10/05 01:43:01;1234
33;09/10/1949;Đợt bí tích ngày 09 tháng 10 năm 1949;G.b. Nguyễn Đức Nhuận;0;Kim Bích;2018/10/05 01:43:01;1234
34;18/09/1949;Đợt bí tích ngày 18 tháng 09 năm 1949;;0;Quỳnh Lang;2018/10/05 01:43:01;1234
35;23/05/1950;Đợt bí tích ngày 23 tháng 05 năm 1950;Lm. G B Nguyễn Văn Sâm;0;Quỳnh Lang;2018/10/05 01:43:01;1234
36;23/10/1950;Đợt bí tích ngày 23 tháng 10 năm 1950;Đaminh Cao Xuân Túc;0;Thái Bình;2018/10/05 01:43:01;1234
