MaDotBiTich;MaGiaoDan;GhiChu;UpdateDate;MaGiaoXuRieng
1;1442;;2018/10/05 01:43:01;1234
1;90;;2018/10/05 01:43:01;1234
1;1793;;2018/10/05 01:43:01;1234
1;1686;;2018/10/05 01:43:01;1234
1;807;;2018/10/05 01:43:01;1234
1;793;;2018/10/05 01:43:01;1234
1;777;;2018/10/05 01:43:01;1234
1;1216;;2018/10/05 01:43:01;1234
1;715;;2018/10/05 01:43:01;1234
1;1806;;2018/10/05 01:43:01;1234
1;1523;;2018/10/05 01:43:01;1234
1;1809;;2018/10/05 01:43:01;1234
1;553;;2018/10/05 01:43:01;1234
1;513;;2018/10/05 01:43:01;1234
1;406;;2018/10/05 01:43:01;1234
1;399;;2018/10/05 01:43:01;1234
1;354;;2018/10/05 01:43:01;1234
1;237;;2018/10/05 01:43:01;1234
1;203;;2018/10/05 01:43:01;1234
1;955;;2018/10/05 01:43:01;1234
1;902;;2018/10/05 01:43:01;1234
1;1565;;2018/10/05 01:43:01;1234
1;2390;;2018/10/05 01:43:01;1234
1;3393;;2018/10/05 01:43:01;1234
1;3334;;2018/10/05 01:43:01;1234
1;3309;;2018/10/05 01:43:01;1234
1;2911;;2018/10/05 01:43:01;1234
1;2890;;2018/10/05 01:43:01;1234
1;2822;;2018/10/05 01:43:01;1234
1;2800;;2018/10/05 01:43:01;1234
1;2599;;2018/10/05 01:43:01;1234
1;861;;2018/10/05 01:43:01;1234
1;2420;;2018/10/05 01:43:01;1234
1;3787;;2018/10/05 01:43:01;1234
1;2318;;2018/10/05 01:43:01;1234
1;2304;;2018/10/05 01:43:01;1234
1;2218;;2018/10/05 01:43:01;1234
1;2111;;2018/10/05 01:43:01;1234
1;2102;;2018/10/05 01:43:01;1234
1;2083;;2018/10/05 01:43:01;1234
1;2032;;2018/10/05 01:43:01;1234
1;1961;;2018/10/05 01:43:01;1234
1;1924;;2018/10/05 01:43:01;1234
1;2423;;2018/10/05 01:43:01;1234
2;3214;;2018/10/05 01:43:01;1234
3;1723;;2018/10/05 01:43:01;1234
4;872;;2018/10/05 01:43:01;1234
5;927;;2018/10/05 01:43:01;1234
6;556;;2018/10/05 01:43:01;1234
7;557;;2018/10/05 01:43:01;1234
7;3216;;2018/10/05 01:43:01;1234
8;1940;;2018/10/05 01:43:01;1234
9;613;;2018/10/05 01:43:01;1234
9;1869;;2018/10/05 01:43:01;1234
10;614;;2018/10/05 01:43:01;1234
10;2225;;2018/10/05 01:43:01;1234
11;2006;;2018/10/05 01:43:01;1234
12;915;;2018/10/05 01:43:01;1234
12;1036;;2018/10/05 01:43:01;1234
12;1187;;2018/10/05 01:43:01;1234
12;767;;2018/10/05 01:43:01;1234
13;1192;;2018/10/05 01:43:01;1234
14;446;;2018/10/05 01:43:01;1234
15;2290;;2018/10/05 01:43:01;1234
16;1171;;2018/10/05 01:43:01;1234
