ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;UpdateDate;MaGiaoXuRieng
1;1;Maria;Maria;;2018/10/05 01:43:02;1234
2;1;Basiliô;Basiliô;;2018/10/05 01:43:02;1234
3;1;Grêgoriô Nazianzênô;Grêgoriô Nazianzênô;;2018/10/05 01:43:02;1234
4;1;Thánh Danh;Thánh Danh;;2018/10/05 01:43:02;1234
5;1;Elisabeth Ann Senton;Elisabeth Ann Senton;;2018/10/05 01:43:02;1234
6;1;Gioan Neumann;Gioan Neumann;;2018/10/05 01:43:02;1234
7;1;Anrê Besset;Anrê Besset;;2018/10/05 01:43:02;1234
8;1;Raymunđô;Raymunđô;;2018/10/05 01:43:02;1234
9;1;Giuse Tuấn;Giuse Tuấn;;2018/10/05 01:43:02;1234
10;1;Hilariô;Hilariô;;2018/10/05 01:43:02;1234
11;1;Đaminh Khảm;Đaminh Khảm;;2018/10/05 01:43:02;1234
12;1;Giuse Tả;Giuse Tả;;2018/10/05 01:43:02;1234
13;1;Luca Thìn;Luca Thìn;;2018/10/05 01:43:02;1234
14;1;Antôn;Antôn;;2018/10/05 01:43:02;1234
15;1;Phabianô;Phabianô;;2018/10/05 01:43:02;1234
16;1;Sêbastianô;Sêbastianô;;2018/10/05 01:43:02;1234
17;1;Anê;Anê;;2018/10/05 01:43:02;1234
18;1;Vinhsơn;Vinhsơn;;2018/10/05 01:43:02;1234
19;1;Matthêu Đậu;Matthêu Đậu;;2018/10/05 01:43:02;1234
20;1;Phanxicô Tế;Phanxicô Tế;;2018/10/05 01:43:02;1234
21;1;Phanxicô Salêsiô;Phanxicô Salêsiô;;2018/10/05 01:43:02;1234
22;1;Phaolô;Phaolô;;2018/10/05 01:43:02;1234
23;1;Timôthêô;Timôthêô;;2018/10/05 01:43:02;1234
24;1;Titô;Titô;;2018/10/05 01:43:02;1234
25;1;Angiêla Mêrisi;Angiêla Mêrisi;;2018/10/05 01:43:02;1234
26;1;Tôma Aquinô;Tôma Aquinô;;2018/10/05 01:43:02;1234
27;1;Tôma Khuông;Tôma Khuông;;2018/10/05 01:43:02;1234
28;1;Gioan Boscô;Gioan Boscô;;2018/10/05 01:43:02;1234
29;1;Maria;Maria;;2018/10/05 01:43:02;1234
30;1;Gioan Ven;Gioan Ven;;2018/10/05 01:43:02;1234
31;1;Blasiô;Blasiô;;2018/10/05 01:43:02;1234
32;1;Ansgariô;Ansgariô;;2018/10/05 01:43:02;1234
33;1;Agatha;Agatha;;2018/10/05 01:43:02;1234
34;1;Phaolô Miki;Phaolô Miki;;2018/10/05 01:43:02;1234
35;1;Giêrônimô Emilianô;Giêrônimô Emilianô;;2018/10/05 01:43:02;1234
36;1;Giôsêphina Bakhita;Giôsêphina Bakhita;;2018/10/05 01:43:02;1234
37;1;Scholastica;Scholastica;;2018/10/05 01:43:02;1234
38;1;Maria;Maria;;2018/10/05 01:43:02;1234
39;1;Lorensô Hưởng;Lorensô Hưởng;;2018/10/05 01:43:02;1234
40;1;Phaolô Lộc;Phaolô Lộc;;2018/10/05 01:43:02;1234
41;1;Cyrillô;Cyrillô;;2018/10/05 01:43:02;1234
42;1;Mêthôđiô;Mêthôđiô;;2018/10/05 01:43:02;1234
43;1;Phêrô Đamianô;Phêrô Đamianô;;2018/10/05 01:43:02;1234
44;1;Pôlicarpô;Pôlicarpô;;2018/10/05 01:43:02;1234
45;1;Katherine Drexel;Katherine Drexel;;2018/10/05 01:43:02;1234
46;1;Casimirô;Casimirô;;2018/10/05 01:43:02;1234
47;1;Perpêtua;Perpêtua;;2018/10/05 01:43:02;1234
48;1;Phêlicita;Phêlicita;;2018/10/05 01:43:02;1234
49;1;Gioan Thiên Chúa;Gioan Thiên Chúa;;2018/10/05 01:43:02;1234
50;1;Phanxica Roma;Phanxica Roma;;2018/10/05 01:43:02;1234
51;1;Đaminh Cẩm;Đaminh Cẩm;;2018/10/05 01:43:02;1234
52;1;Patriciô;Patriciô;;2018/10/05 01:43:02;1234
53;1;Cyrillô;Cyrillô;;2018/10/05 01:43:02;1234
54;1;Giuse;Giuse;;2018/10/05 01:43:02;1234
55;1;Turibiô Môgrôvêjô;Turibiô Môgrôvêjô;;2018/10/05 01:43:02;1234
56;1;Maria;Maria;;2018/10/05 01:43:02;1234
57;1;Phanxicô Paola;Phanxicô Paola;;2018/10/05 01:43:02;1234
58;1;Đaminh Tước;Đaminh Tước;;2018/10/05 01:43:02;1234
59;1;Isiđôrô;Isiđôrô;;2018/10/05 01:43:02;1234
60;1;Vinhsơn Phêriê;Vinhsơn Phêriê;;2018/10/05 01:43:02;1234
61;1;Phaolô Tịnh;Phaolô Tịnh;;2018/10/05 01:43:02;1234
62;1;Gioan Bt. Lasan;Gioan Bt. Lasan;;2018/10/05 01:43:02;1234
63;1;Phêrô Lựu;Phêrô Lựu;;2018/10/05 01:43:02;1234
64;1;Stanislaô;Stanislaô;;2018/10/05 01:43:02;1234
65;1;Martinô I;Martinô I;;2018/10/05 01:43:02;1234
66;1;Anselmô;Anselmô;;2018/10/05 01:43:02;1234
67;1;Georgiô;Georgiô;;2018/10/05 01:43:02;1234
68;1;Ađalbertô;Ađalbertô;;2018/10/05 01:43:02;1234
69;1;Fiđêlê Sigmaringen;Fiđêlê Sigmaringen;;2018/10/05 01:43:02;1234
70;1;Marcô;Marcô;;2018/10/05 01:43:02;1234
71;1;Giaon Bt. Thành;Giaon Bt. Thành;;2018/10/05 01:43:02;1234
72;1;Phêrô Chanel;Phêrô Chanel;;2018/10/05 01:43:02;1234
73;1;Phaolô Khoan;Phaolô Khoan;;2018/10/05 01:43:02;1234
74;1;Phêrô Hiếu;Phêrô Hiếu;;2018/10/05 01:43:02;1234
75;1;Catêrina Siêna;Catêrina Siêna;;2018/10/05 01:43:02;1234
76;1;Piô V;Piô V;;2018/10/05 01:43:02;1234
77;1;Giuse Tuân;Giuse Tuân;;2018/10/05 01:43:02;1234
78;1;Giuse;Giuse;;2018/10/05 01:43:02;1234
79;1;Augustinô Đông;Augustinô Đông;;2018/10/05 01:43:02;1234
80;1;Gioan Hương;Gioan Hương;;2018/10/05 01:43:02;1234
81;1;Athanasiô;Athanasiô;;2018/10/05 01:43:02;1234
82;1;Philipphê;Philipphê;;2018/10/05 01:43:02;1234
83;1;Giacôbê;Giacôbê;;2018/10/05 01:43:02;1234
84;1;Giuse Lựu;Giuse Lựu;;2018/10/05 01:43:02;1234
85;1;Giuse Hiển;Giuse Hiển;;2018/10/05 01:43:02;1234
86;1;Matthêu Gẫm;Matthêu Gẫm;;2018/10/05 01:43:02;1234
87;1;Nêrêô;Nêrêô;;2018/10/05 01:43:02;1234
88;1;Achillêô;Achillêô;;2018/10/05 01:43:02;1234
89;1;Pancratiô;Pancratiô;;2018/10/05 01:43:02;1234
90;1;Maria;Maria;;2018/10/05 01:43:02;1234
91;1;Matthia;Matthia;;2018/10/05 01:43:02;1234
92;1;Isidorê;Isidorê;;2018/10/05 01:43:02;1234
93;1;Gioan I;Gioan I;;2018/10/05 01:43:02;1234
94;1;Bernarđinô Siêna;Bernarđinô Siêna;;2018/10/05 01:43:02;1234
95;1;Gioan Tân;Gioan Tân;;2018/10/05 01:43:02;1234
96;1;Christôphôrô Magallanes;Christôphôrô Magallanes;;2018/10/05 01:43:02;1234
97;1;Lorensô Ngôn;Lorensô Ngôn;;2018/10/05 01:43:02;1234
98;1;Micae Hy;Micae Hy;;2018/10/05 01:43:02;1234
99;1;Bêđa;Bêđa;;2018/10/05 01:43:02;1234
100;1;Grêgôriô VII;Grêgôriô VII;;2018/10/05 01:43:02;1234
101;1;Maria Mađalêna Pazzi;Maria Mađalêna Pazzi;;2018/10/05 01:43:02;1234
102;1;Phêrô Vân;Phêrô Vân;;2018/10/05 01:43:02;1234
103;1;Matthêu Phương;Matthêu Phương;;2018/10/05 01:43:02;1234
104;1;Philipphê Nêri;Philipphê Nêri;;2018/10/05 01:43:02;1234
105;1;Gioan Hoan;Gioan Hoan;;2018/10/05 01:43:02;1234
106;1;Augustinô;Augustinô;;2018/10/05 01:43:02;1234
107;1;Phaolô Hạnh;Phaolô Hạnh;;2018/10/05 01:43:02;1234
108;1;Maria;Maria;;2018/10/05 01:43:02;1234
109;1;Justinô;Justinô;;2018/10/05 01:43:02;1234
110;1;Giuse Túc;Giuse Túc;;2018/10/05 01:43:02;1234
111;1;Marcellinô;Marcellinô;;2018/10/05 01:43:02;1234
112;1;Phêrô;Phêrô;;2018/10/05 01:43:02;1234
113;1;Đaminh Ninh;Đaminh Ninh;;2018/10/05 01:43:02;1234
114;1;Carôlô Lwanga;Carôlô Lwanga;;2018/10/05 01:43:02;1234
115;1;Phaolô Dương;Phaolô Dương;;2018/10/05 01:43:02;1234
116;1;Bonifatiô;Bonifatiô;;2018/10/05 01:43:02;1234
117;1;Đaminh Huyện;Đaminh Huyện;;2018/10/05 01:43:02;1234
118;1;Đaminh Toái;Đaminh Toái;;2018/10/05 01:43:02;1234
119;1;Luca Loan;Luca Loan;;2018/10/05 01:43:02;1234
120;1;Norbertô;Norbertô;;2018/10/05 01:43:02;1234
121;1;Phêrô Dũng;Phêrô Dũng;;2018/10/05 01:43:02;1234
122;1;Phêrô Thuần;Phêrô Thuần;;2018/10/05 01:43:02;1234
123;1;Vinhsơn Dương;Vinhsơn Dương;;2018/10/05 01:43:02;1234
124;1;Ephrem;Ephrem;;2018/10/05 01:43:02;1234
125;1;Barnaba;Barnaba;;2018/10/05 01:43:02;1234
126;1;Augustinô Huy;Augustinô Huy;;2018/10/05 01:43:02;1234
127;1;Nicola Thể;Nicola Thể;;2018/10/05 01:43:02;1234
128;1;Maria;Maria;;2018/10/05 01:43:02;1234
129;1;Antôn;Antôn;;2018/10/05 01:43:02;1234
130;1;Anrê Tường;Anrê Tường;;2018/10/05 01:43:02;1234
131;1;Đaminh Mạo;Đaminh Mạo;;2018/10/05 01:43:02;1234
132;1;Đaminh Nguyên;Đaminh Nguyên;;2018/10/05 01:43:02;1234
133;1;Đaminh Nhi;Đaminh Nhi;;2018/10/05 01:43:02;1234
134;1;Vinhsơn Tường;Vinhsơn Tường;;2018/10/05 01:43:02;1234
135;1;Phêrô Đa;Phêrô Đa;;2018/10/05 01:43:02;1234
136;1;Rômualđô;Rômualđô;;2018/10/05 01:43:02;1234
137;1;Luy Gonzaga;Luy Gonzaga;;2018/10/05 01:43:02;1234
138;1;Paulinô;Paulinô;;2018/10/05 01:43:02;1234
139;1;Tôma More;Tôma More;;2018/10/05 01:43:02;1234
140;1;Gioan Fisher;Gioan Fisher;;2018/10/05 01:43:02;1234
141;1;Gioan Bt.;Gioan Bt.;;2018/10/05 01:43:02;1234
142;1;Đaminh Xuân;Đaminh Xuân;;2018/10/05 01:43:02;1234
143;1;Phanxicô Chiểu;Phanxicô Chiểu;;2018/10/05 01:43:02;1234
144;1;Cyrillô;Cyrillô;;2018/10/05 01:43:02;1234
145;1;Tôma Toán;Tôma Toán;;2018/10/05 01:43:02;1234
146;1;Irênê;Irênê;;2018/10/05 01:43:02;1234
147;1;Phêrô;Phêrô;;2018/10/05 01:43:02;1234
148;1;Phaolô;Phaolô;;2018/10/05 01:43:02;1234
149;1;Vinhsơn Yến;Vinhsơn Yến;;2018/10/05 01:43:02;1234
150;1;Junipero Serra;Junipero Serra;;2018/10/05 01:43:02;1234
151;1;Tôma;Tôma;;2018/10/05 01:43:02;1234
152;1;Philipphê Minh;Philipphê Minh;;2018/10/05 01:43:02;1234
153;1;Êlisabeth;Êlisabeth;;2018/10/05 01:43:02;1234
154;1;Giuse Uyển;Giuse Uyển;;2018/10/05 01:43:02;1234
155;1;Antôn;Antôn;;2018/10/05 01:43:02;1234
156;1;Maria Goretti;Maria Goretti;;2018/10/05 01:43:02;1234
157;1;Antôn Quỳnh;Antôn Quỳnh;;2018/10/05 01:43:02;1234
158;1;Phêrô Khắc Tự;Phêrô Khắc Tự;;2018/10/05 01:43:02;1234
159;1;Bênêđictô;Bênêđictô;;2018/10/05 01:43:02;1234
160;1;Clêmentê Inhaxiô Hy;Clêmentê Inhaxiô Hy;;2018/10/05 01:43:02;1234
161;1;Inê Thành;Inê Thành;;2018/10/05 01:43:02;1234
162;1;Phêrô Khanh;Phêrô Khanh;;2018/10/05 01:43:02;1234
163;1;Henricô;Henricô;;2018/10/05 01:43:02;1234
164;1;Camillô Lellis;Camillô Lellis;;2018/10/05 01:43:02;1234
165;1;Kateri Tekakwitha;Kateri Tekakwitha;;2018/10/05 01:43:02;1234
166;1;Bônaventura;Bônaventura;;2018/10/05 01:43:02;1234
167;1;Anrê Thông;Anrê Thông;;2018/10/05 01:43:02;1234
168;1;Phêrô Tuần;Phêrô Tuần;;2018/10/05 01:43:02;1234
169;1;Maria;Maria;;2018/10/05 01:43:02;1234
170;1;Đaminh Đạt;Đaminh Đạt;;2018/10/05 01:43:02;1234
171;1;Giuse An;Giuse An;;2018/10/05 01:43:02;1234
172;1;Laurensô;Laurensô;;2018/10/05 01:43:02;1234
173;1;Maria Mađalêna;Maria Mađalêna;;2018/10/05 01:43:02;1234
174;1;Brigitta;Brigitta;;2018/10/05 01:43:02;1234
175;1;Sarbêliô Makhluf;Sarbêliô Makhluf;;2018/10/05 01:43:02;1234
176;1;Giuse Hiền;Giuse Hiền;;2018/10/05 01:43:02;1234
177;1;Giacôbê;Giacôbê;;2018/10/05 01:43:02;1234
178;1;Gioakim;Gioakim;;2018/10/05 01:43:02;1234
179;1;Anna;Anna;;2018/10/05 01:43:02;1234
180;1;Anrê Phú Yên;Anrê Phú Yên;;2018/10/05 01:43:02;1234
181;1;Melchor Xuyên;Melchor Xuyên;;2018/10/05 01:43:02;1234
182;1;Martha;Martha;;2018/10/05 01:43:02;1234
183;1;Phêrô;Phêrô;;2018/10/05 01:43:02;1234
184;1;Ignatiô;Ignatiô;;2018/10/05 01:43:02;1234
