ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;UpdateDate;MaGiaoXuRieng;DeleteClient
1;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
2;1;Basiliô;Basiliô;;2018/10/24 14:46:46;1221;0
3;1;Grêgoriô Nazianzênô;Grêgoriô Nazianzênô;;2018/10/24 14:46:46;1221;0
4;1;Thánh Danh;Thánh Danh;;2018/10/24 14:46:46;1221;0
5;1;Elisabeth Ann Senton;Elisabeth Ann Senton;;2018/10/24 14:46:46;1221;0
6;1;Gioan Neumann;Gioan Neumann;;2018/10/24 14:46:46;1221;0
7;1;Anrê Besset;Anrê Besset;;2018/10/24 14:46:46;1221;0
8;1;Raymunđô;Raymunđô;;2018/10/24 14:46:46;1221;0
9;1;Giuse Tuấn;Giuse Tuấn;;2018/10/24 14:46:46;1221;0
10;1;Hilariô;Hilariô;;2018/10/24 14:46:46;1221;0
11;1;Đaminh Khảm;Đaminh Khảm;;2018/10/24 14:46:46;1221;0
12;1;Giuse Tả;Giuse Tả;;2018/10/24 14:46:46;1221;0
13;1;Luca Thìn;Luca Thìn;;2018/10/24 14:46:46;1221;0
14;1;Antôn;Antôn;;2018/10/24 14:46:46;1221;0
15;1;Phabianô;Phabianô;;2018/10/24 14:46:46;1221;0
16;1;Sêbastianô;Sêbastianô;;2018/10/24 14:46:46;1221;0
17;1;Anê;Anê;;2018/10/24 14:46:46;1221;0
18;1;Vinhsơn;Vinhsơn;;2018/10/24 14:46:46;1221;0
19;1;Matthêu Đậu;Matthêu Đậu;;2018/10/24 14:46:46;1221;0
20;1;Phanxicô Tế;Phanxicô Tế;;2018/10/24 14:46:46;1221;0
21;1;Phanxicô Salêsiô;Phanxicô Salêsiô;;2018/10/24 14:46:46;1221;0
22;1;Phaolô;Phaolô;;2018/10/24 14:46:46;1221;0
23;1;Timôthêô;Timôthêô;;2018/10/24 14:46:46;1221;0
24;1;Titô;Titô;;2018/10/24 14:46:46;1221;0
25;1;Angiêla Mêrisi;Angiêla Mêrisi;;2018/10/24 14:46:46;1221;0
26;1;Tôma Aquinô;Tôma Aquinô;;2018/10/24 14:46:46;1221;0
27;1;Tôma Khuông;Tôma Khuông;;2018/10/24 14:46:46;1221;0
28;1;Gioan Boscô;Gioan Boscô;;2018/10/24 14:46:46;1221;0
29;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
30;1;Gioan Ven;Gioan Ven;;2018/10/24 14:46:46;1221;0
31;1;Blasiô;Blasiô;;2018/10/24 14:46:46;1221;0
32;1;Ansgariô;Ansgariô;;2018/10/24 14:46:46;1221;0
33;1;Agatha;Agatha;;2018/10/24 14:46:46;1221;0
34;1;Phaolô Miki;Phaolô Miki;;2018/10/24 14:46:46;1221;0
35;1;Giêrônimô Emilianô;Giêrônimô Emilianô;;2018/10/24 14:46:46;1221;0
36;1;Giôsêphina Bakhita;Giôsêphina Bakhita;;2018/10/24 14:46:46;1221;0
37;1;Scholastica;Scholastica;;2018/10/24 14:46:46;1221;0
38;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
39;1;Lorensô Hưởng;Lorensô Hưởng;;2018/10/24 14:46:46;1221;0
40;1;Phaolô Lộc;Phaolô Lộc;;2018/10/24 14:46:46;1221;0
41;1;Cyrillô;Cyrillô;;2018/10/24 14:46:46;1221;0
42;1;Mêthôđiô;Mêthôđiô;;2018/10/24 14:46:46;1221;0
43;1;Phêrô Đamianô;Phêrô Đamianô;;2018/10/24 14:46:46;1221;0
